State,District,Market,Commodity Group,Commodity,Date,MSP,Arrival Quantity,Arrival Unit,Min Price ,Modal Price,Max Price,Price Unit
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,10-08-23,-,0.1,Metric Tonnes,3100,3140,3180,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,10-08-23,0,2.3,Metric Tonnes,1400,1420,1440,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,10-08-23,0,660,Metric Tonnes,940,980,1020,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,11-08-23,-,0.1,Metric Tonnes,3050,3100,3150,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,11-08-23,0,2.1,Metric Tonnes,1400,1450,1500,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,11-08-23,0,600,Metric Tonnes,980,1020,1060,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,12-08-23,-,0.1,Metric Tonnes,3150,3200,3250,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,12-08-23,0,2.1,Metric Tonnes,1400,1420,1440,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,12-08-23,0,550,Metric Tonnes,950,1000,1050,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,13-08-23,-,0.1,Metric Tonnes,3050,3100,3150,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,13-08-23,0,2,Metric Tonnes,1400,1440,1480,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,13-08-23,0,620,Metric Tonnes,980,1020,1060,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,14-08-23,-,0.1,Metric Tonnes,3140,3160,3180,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,14-08-23,0,2.3,Metric Tonnes,1360,1400,1440,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,14-08-23,0,600,Metric Tonnes,950,1000,1050,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,15-08-23,-,0.1,Metric Tonnes,3150,3170,3190,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,15-08-23,0,2.2,Metric Tonnes,1370,1400,1430,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,15-08-23,0,500,Metric Tonnes,980,1010,1040,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,16-08-23,-,0.1,Metric Tonnes,3080,3100,3120,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,17-08-23,-,0.1,Metric Tonnes,3040,3080,3120,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,17-08-23,0,2.2,Metric Tonnes,1370,1400,1430,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,17-08-23,0,400,Metric Tonnes,960,1000,1040,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,17-08-23,0,0.2,Metric Tonnes,5250,5300,5350,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,18-08-23,-,0.1,Metric Tonnes,3070,3100,3130,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,18-08-23,0,2.3,Metric Tonnes,1400,1420,1440,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,18-08-23,0,410,Metric Tonnes,980,1010,1040,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,18-08-23,0,0.2,Metric Tonnes,5260,5290,5320,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,19-08-23,-,0.1,Metric Tonnes,3050,3100,3150,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,20-08-23,-,0.1,Metric Tonnes,3030,3060,3090,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,20-08-23,0,1.9,Metric Tonnes,1520,1550,1580,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,20-08-23,0,350,Metric Tonnes,1000,1030,1060,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,20-08-23,0,0.2,Metric Tonnes,4700,4750,4800,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,21-08-23,-,0.1,Metric Tonnes,3020,3050,3080,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,21-08-23,0,2.1,Metric Tonnes,1570,1600,1630,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,21-08-23,0,330,Metric Tonnes,990,1015,1040,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,21-08-23,0,0.2,Metric Tonnes,4150,4200,4250,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,22-08-23,-,0.1,Metric Tonnes,2960,3000,3040,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,22-08-23,0,1.8,Metric Tonnes,1660,1700,1740,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,22-08-23,0,340,Metric Tonnes,940,980,1020,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,22-08-23,0,0.2,Metric Tonnes,3750,3800,3850,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,23-08-23,-,0.1,Metric Tonnes,2960,3000,3040,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,23-08-23,0,1.7,Metric Tonnes,1700,1750,1800,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,23-08-23,0,270,Metric Tonnes,960,1000,1040,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,23-08-23,0,0.2,Metric Tonnes,3700,3750,3800,Rs./Quintal
